Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782550615,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550615,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550615,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550616,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550616,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550616,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550616,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550617,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550617,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550617,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550617,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550618,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550618,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550618,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550618,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550619,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550619,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550619,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550619,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550620,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550620,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550620,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550620,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550621,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550621,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550621,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550621,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550622,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550622,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550622,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550622,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550623,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550623,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550623,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550623,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550624,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550624,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550624,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550624,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550625,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550625,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550625,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
1782550625,0,,Aggregated,7.100000,0.000000,0,0,0,0,0,0,0,0,0,0,0,608,0,7400,24803.02114912736,782.5004160404205,123641.75701141357,0.0
1782550626,0,STREAM,E2E,2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,31000,44544.53370445653,6408.565044403076,123641.75701141357,0.0
1782550626,0,STREAM,TTFT,2.300000,0.000000,0,0,0,0,0,0,0,0,0,0,0,228,0,1500,16883.112209930754,914.7491455078125,96665.13800621033,0.0
1782550626,0,POST,chat (headers),2.400000,0.000000,0,0,0,0,0,0,0,0,0,0,0,190,0,920,14565.39932083412,782.5004160404205,78601.87808296178,0.0
